"date","month","year","event","championship","decision","decision_group","round","time","p1_result","p1_id","p1_name","p1_country","p1_sex","p2_result","p2_id","p2_name","p2_country","p2_sex","wtClass"
"3/10/00",3,2000,"UFC 24: First Defense",FALSE,"Submission","Submission","1","03:09:00","W",2558110,"Adams, Scott","CAN","M","L",2499537,"Freeman, Ian","ENG","M","Heavyweight"
"3/25/99",3,1999,"EC: Extreme Cage",FALSE,"Decision","Decision","3","04:00:00","L",2558110,"Adams, Scott","CAN","M","W",2473325,"Rodriguez, Ricco","USA","M","Heavyweight"
"3/6/10",3,2010,"Xtreme Fighting League: March Badness",FALSE,"Split Decision","Decision","3","03:00:00","L",2515788,"Adams, Steve","CAN","M","W",2515787,"Dennis, Myron","USA","M","Heavyweight"
"10/23/09",10,2009,"COTK: Clash of the Kings",FALSE,"TKO","KO/TKO","1","03:15:00","L",2506561,"Adams, Travis","CAN","M","W",2560090,"Harvison, Clay","USA","M","Welterweight"
"7/25/21",7,2021,"NFT Gym: National Fighting Championship 4",FALSE,"Decision - Split","Decision","3","05:00:00","W",4275054,"Adas, Arda","GER","M","L",3155859,"Brander, Benjamin","SUI","M","Welterweight"
"6/1/17",6,2017,"M-1 Challenge 79: Shlemenko vs. Halsey 2",FALSE,"TKO (Injury)","KO/TKO","1","04:21:00","L",4275054,"Adas, Arda","GER","M","W",4274910,"Romanov, Sergey","RUS","M","Welterweight"
"7/4/15",7,2015,"WLMMA: We Love MMA 15",FALSE,"DQ","DQ","2","00:00:00","L",4275054,"Adas, Arda","GER","M","W",4685871,"Stoltzfus, Dustin","USA","M","Middleweight"
"6/4/22",6,2022,"UFC Fight Night: Volkov vs. Rozenstruik",FALSE,"KO/TKO","KO/TKO","1","01:01:00","L",4683807,"Adashev, Zarrukh","UZB","M","W",4424224,"Osbourne, Ode'","JAM","M","Bantamweight"
"7/31/21",7,2021,"UFC Fight Night: Hall vs. Strickland",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4683807,"Adashev, Zarrukh","UZB","M","L",2992191,"Benoit, Ryan","USA","M","Flyweight"
"6/13/20",6,2020,"UFC Fight Night: Eye vs. Calvillo",FALSE,"KO/TKO","KO/TKO","1","00:32:00","L",4683807,"Adashev, Zarrukh","UZB","M","W",2976026,"Nam, Tyson","USA","M","Flyweight"
"10/13/18",10,2018,"Bellator 208: Fedor vs. Sonnen",FALSE,"KO/TKO","KO/TKO","1","01:08:00","W",4683807,"Adashev, Zarrukh","UZB","M","L",4683810,"Medina, Christian","USA","M","Bantamweight"
"6/5/15",6,2015,"ROC 51: Ring of Combat 51",FALSE,"Submission (Rear Naked Choke)","Submission","1","03:44:00","L",4683807,"Adashev, Zarrukh","UZB","M","W",4683811,"Mooney, Cody","USA","M","Lightweight"
"3/12/22",3,2022,"Bellator 276: Borics vs. Burnell",FALSE,"KO/TKO","KO/TKO","1","01:17:00","L",4878435,"Adcock, James","USA","M","W",4781800,"Law, Cody","USA","M","Featherweight"
"2/20/21",2,2021,"AFC 6: Alabama Fighting Championship",FALSE,"KO/TKO","KO/TKO","1","04:20:00","W",4878435,"Adcock, James","USA","M","L",4878456,"Shelton, Cody","IRL","M","Featherweight"
"9/12/20",9,2020,"VFC 73: Valor Fighting Challenge",FALSE,"Submission (Rear Naked Choke)","Submission","1","01:30:00","L",4878435,"Adcock, James","USA","M","W",4878455,"Mitchell, Jeromy","USA","M","Featherweight"
"8/2/19",8,2019,"VFC 62: Valor Fighting Challenge 62",FALSE,"Submission","Submission","1","02:35:00","W",4878435,"Adcock, James","USA","M","L",4958746,"Combs, Billy","USA","M","Heavyweight"
"6/7/19",6,2019,"VFC 60: Valor Fighting Challenge 60",FALSE,"KO/TKO","KO/TKO","1","02:43:00","W",4878435,"Adcock, James","USA","M","L",4685072,"Rogers, Jeremy","USA","M","Featherweight"
"12/9/17",12,2017,"HRMMA: Hardrock MMA 95",FALSE,"Submission (Armbar)","Submission","1","02:17:00","L",4878435,"Adcock, James","USA","M","W",4878452,"Ballou, Donnie","USA","M","Featherweight"
"7/29/17",7,2017,"HRMMA: Hardrock MMA 91",FALSE,"KO/TKO","KO/TKO","1","04:57:00","L",4878435,"Adcock, James","USA","M","W",4878451,"Mohammed, Jamal","USA","M","Featherweight"
"6/6/15",6,2015,"Valor Fights: Valor Fights 23",FALSE,"Submission (Rear Naked Choke)","Submission","2","01:35:00","L",4878435,"Adcock, James","USA","M","W",4878450,"Causey, Kyle","USA","M","Lightweight"
"11/1/14",11,2014,"Valor Fights: Valor Fights 16",FALSE,"Submission (Guillotine)","Submission","2","02:20:00","W",4878435,"Adcock, James","USA","M","L",4878449,"Sanders, Roy","USA","M","Welterweight"
"11/12/22",11,2022,"UFC 281: Adesanya vs. Pereira",TRUE,"KO/TKO","KO/TKO","5","02:01:00","L",4285679,"Adesanya, Israel","NGR","M","W",4705658,"Pereira, Alex","BRA","M","Middleweight"
"7/2/22",7,2022,"UFC 276: Adesanya vs. Cannonier",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",3154860,"Cannonier, Jared","USA","M","Middleweight"
"2/12/22",2,2022,"UFC 271: Adesanya vs. Whittaker 2",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",3009717,"Whittaker, Robert","AUS","M","Middleweight"
"6/12/21",6,2021,"UFC 263: Adesanya vs. Vettori 2",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",4001851,"Vettori, Marvin","ITA","M","Middleweight"
"3/6/21",3,2021,"UFC 259: Blachowicz vs. Adesanya",TRUE,"Decision - Unanimous","Decision","5","05:00:00","L",4285679,"Adesanya, Israel","NGR","M","W",2506250,"Blachowicz, Jan","POL","M","Heavyweight"
"9/26/20",9,2020,"UFC 253: Adesanya vs. Costa",TRUE,"KO/TKO","KO/TKO","2","03:59:00","W",4285679,"Adesanya, Israel","NGR","M","L",4080826,"Costa, Paulo","BRA","M","Middleweight"
"3/7/20",3,2020,"UFC 248: Adesanya vs. Romero",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",2569939,"Romero, Yoel","CUB","M","Heavyweight"
"10/5/19",10,2019,"UFC 243: Whittaker vs. Adesanya",TRUE,"KO/TKO","KO/TKO","2","03:33:00","W",4285679,"Adesanya, Israel","NGR","M","L",3009717,"Whittaker, Robert","AUS","M","Middleweight"
"4/13/19",4,2019,"UFC 236: Holloway vs. Poirier 2",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",3026011,"Gastelum, Kelvin","USA","M","Middleweight"
"2/9/19",2,2019,"UFC 234: Adesanya vs. Silva",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",2335447,"Silva, Anderson","BRA","M","Middleweight"
"11/3/18",11,2018,"UFC 230: Cormier vs. Lewis",FALSE,"KO/TKO","KO/TKO","1","04:51:00","W",4285679,"Adesanya, Israel","NGR","M","L",2560056,"Brunson, Derek","USA","M","Middleweight"
"7/6/18",7,2018,"The Ultimate Fighter 27 Finale",FALSE,"Decision - Unanimous","Decision","5","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",2504643,"Tavares, Brad","USA","M","Middleweight"
"4/14/18",4,2018,"UFC Fight Night: Poirier vs. Gaethje",FALSE,"Decision - Split","Decision","3","05:00:00","W",4285679,"Adesanya, Israel","NGR","M","L",4001851,"Vettori, Marvin","ITA","M","Middleweight"
"2/10/18",2,2018,"UFC 221: Romero vs. Rockhold",FALSE,"KO/TKO","KO/TKO","2","03:37:00","W",4285679,"Adesanya, Israel","NGR","M","L",4249028,"Wilkinson, Robert","AUS","M","Heavyweight"
"7/28/17",7,2017,"AFC 20: Australian Fighting Championship 20",FALSE,"TKO (Punches)","KO/TKO","1","04:49:00","W",4285679,"Adesanya, Israel","NGR","M","L",2335800,"Guillard, Melvin","USA","M","Middleweight"
"8/8/15",8,2015,"WFC: The Legend of Emei 3",FALSE,"TKO - Head Kick","KO/TKO","1","01:59:00","W",4285679,"Adesanya, Israel","NGR","M","L",4284870,"Kenan, Song","CHN","M","Middleweight"
"2/25/22",2,2022,"UAE Warriors 25: Africa",FALSE,"Submission (Rear Naked Choke)","Submission","1","01:55:00","L",3957802,"Adetola, Pelu","ENG","M","W",4341643,"Boukichou, Sofiane","FRA","M","Heavyweight"
"7/21/18",7,2018,"CW 95: Janzemini vs. Paterno",FALSE,"Submission (Rear Naked Choke)","Submission","2","00:29:00","L",3957802,"Adetola, Pelu","ENG","M","W",4405588,"Webb, James","ENG","M","Heavyweight"
"3/24/18",3,2018,"CW 92: Super Saturday",FALSE,"Submission (Rear Naked Choke)","Submission","1","04:10:00","L",3957802,"Adetola, Pelu","ENG","M","W",4279621,"Bukauskas, Modestas","LTU","M","Heavyweight"
"11/14/15",11,2015,"BAMMA 23: Night of Champions",FALSE,"TKO","KO/TKO","1","01:57:00","L",3957802,"Adetola, Pelu","ENG","M","W",3161793,"McDermott, Brett","ENG","M","Heavyweight"
"11/15/14",11,2014,"CWFC 74: Cage Warriors Fighting Championship 74",FALSE,"TKO","KO/TKO","1","02:24:00","L",3957802,"Adetola, Pelu","ENG","M","W",4064854,"Stewart, Darren","ENG","M","Heavyweight"
"4/4/15",4,2015,"Kunlun Fight: Cage Series 2",FALSE,"Submission (Armbar)","Submission","1","04:36:00","L",4896572,"Adiatov, Alpamys","KAZ","M","W",4286781,"Zhifa, Shang","CHN","M","Bantamweight"
"3/26/22",3,2022,"ONE Championship: ONE X",FALSE,"TKO (Injury)","KO/TKO","2","02:56:00","L",3893071,"Adiwang, Lito","PHI","M","W",4251381,"Miado, Jeremy","PHI","M","Flyweight"
"11/26/21",11,2021,"ONE Championship: NextGen 3",FALSE,"Submission","Submission","2","03:07:00","L",3893071,"Adiwang, Lito","PHI","M","W",4036094,"Brooks, Jarred","USA","M","Flyweight"
"9/24/21",9,2021,"ONE Championship: Revolution",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",3893071,"Adiwang, Lito","PHI","M","L",4422072,"Hexi, Getu","USA","M","Bantamweight"
"11/13/20",11,2020,"ONE Championship: Inside the Matrix 3",FALSE,"Decision - Split","Decision","3","05:00:00","L",3893071,"Adiwang, Lito","PHI","M","W",4409575,"Minowa, Hiroba","JPN","M","Flyweight"
"10/12/19",10,2019,"ONE Championship: Century Part I",FALSE,"TKO (Injury)","KO/TKO","1","01:57:00","W",3893071,"Adiwang, Lito","PHI","M","L",4293154,"Ikeda, Senzo","JPN","M","Flyweight"
"9/23/22",9,2022,"Bellator 285: Henderson vs. Queally",FALSE,"KO/TKO","KO/TKO","1","02:39:00","W",4894845,"Adjoudj, Asael","PHI","M","L",4720080,"Barton, Jordan","POL","M","Featherweight"
"2/26/22",2,2022,"UAE Warriors 26",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4894845,"Adjoudj, Asael","PHI","M","L",5074214,"Al-Bakri, Saleem","USA","M","Featherweight"
"10/3/20",10,2020,"Bellator Europe: Gallagher vs. Ellenor",FALSE,"KO/TKO","KO/TKO","2","02:58:00","W",4894845,"Adjoudj, Asael","PHI","M","L",4894935,"Jessimer, Nathan","SKO","M","Featherweight"
"2/22/20",2,2020,"Bellator 240: McCourt vs. Ruis",FALSE,"Decision - Split","Decision","3","05:00:00","L",4894845,"Adjoudj, Asael","PHI","M","W",4894934,"Blanita, Constantin","IRL","M","Featherweight"
"11/10/17",11,2017,"LFA 27: Watley vs. Wilson",FALSE,"TKO","KO/TKO","3","01:53:00","L",4077476,"Adkins, Derrick","USA","M","W",4018757,"Hernandez, Alexander","USA","M","Lightweight"
"8/4/17",8,2017,"LFA 18: Aguilar vs. Rader",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4077476,"Adkins, Derrick","USA","M","L",4246527,"Driscoll, Kyle","USA","M","Lightweight"
"6/30/17",6,2017,"LFA 15: Odoms vs. Vanderaa",FALSE,"Submission (Arm Triangle)","Submission","3","04:59:00","L",4077476,"Adkins, Derrick","USA","M","W",3150680,"Moret, Dan","USA","M","Lightweight"
"4/22/16",4,2016,"LFC 54: Legacy Fighting Championship 54",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4077476,"Adkins, Derrick","USA","M","L",4231386,"Wilson, Daryl","USA","M","Lightweight"
"12/5/15",12,2015,"EFC 2: The Evolution Continues",FALSE,"TKO (Doctor Stoppage)","KO/TKO","2","00:52:00","L",4077476,"Adkins, Derrick","USA","M","W",4076331,"Harris, Chris","USA","M","Middleweight"
"11/13/15",11,2015,"HD Boxing: Rampage at Remington",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4077476,"Adkins, Derrick","USA","M","L",3131862,"Penland, Marcus","ITA","M","Lightweight"
"4/23/15",4,2015,"XFL: Tulsa Celebrity Fight Night",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4077476,"Adkins, Derrick","USA","M","W",3027538,"Walker, Alfred","USA","M","Lightweight"
"3/27/15",3,2015,"HD Boxing: Rampage at Remington",FALSE,"Decision - Split","Decision","3","05:00:00","W",4077476,"Adkins, Derrick","USA","M","L",4231387,"Camp, Christian","USA","M","Lightweight"
"2/12/04",2,2004,"GC 22: Gladiator Challenge 22",FALSE,"TKO (Corner Stoppage)","KO/TKO","2","02:42:00","L",2499292,"Adkins, George","USA","M","W",2335682,"Faber, Urijah","USA","M","Lightweight"
"8/10/01",8,2001,"WMMAA 1: MegaFights",FALSE,"Submission (Kimura)","Submission","1","01:26:00","L",2504612,"Adkins, Sam","USA","M","W",2335653,"Shamrock, Ken","USA","M","Heavyweight"
"11/23/99",11,1999,"Armageddon: Armageddon 2",FALSE,"Submission (Forearm Choke)","Submission","1","04:32:00","L",2504612,"Adkins, Sam","USA","M","W",2473325,"Rodriguez, Ricco","USA","M","Heavyweight"
"7/12/96",7,1996,"UFC 10: The Tournament",FALSE,"Decision - Unanimous","Decision","2","03:00:00","W",2504612,"Adkins, Sam","USA","M","L",2504615,"Mitchell, Felix Lee","USA","M","Open Weight"
"2/16/96",2,1996,"UFC 8: David vs. Goliath",FALSE,"TKO - Doctor's Stoppage","KO/TKO","1","00:48:00","L",2504612,"Adkins, Sam","USA","M","W",2354083,"Frye, Don","BRA","M","Heavyweight"
"2/16/96",2,1996,"UFC 8: David vs. Goliath",FALSE,"KO/TKO","KO/TKO","1","00:50:00","W",2504612,"Adkins, Sam","USA","M","L",2558021,"Mielke, Keith","USA","M","Heavyweight"
"11/15/19",11,2019,"LFA 78: Yanez vs. Estrada",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4289252,"Adney, Rebecca","USA","M","W",4683396,"Vlismas, Cheyanne","USA","F","Strawweight"
"4/1/17",4,2017,"XKO: Xtreme Knockout 35",FALSE,"Decision - Unanimous","Decision","3","03:00:00","L",4289252,"Adney, Rebecca","USA","M","W",4287764,"Dobson, Shana","USA","F","Flyweight"
"4/14/12",4,2012,"Bushido Lithuania: SWAT 30",FALSE,"Draw","Unkown/Other","3","05:00:00","D",4407565,"Adomulyte, Evelyn","USA","F","D",3157454,"Stoliarenko, Julija","LTU","F","Featherweight"
"10/13/18",10,2018,"MTK MMA 4",FALSE,"KO/TKO","KO/TKO","2","00:00:00","L",5077796,"Adrian, Valean","USA","M","W",5077790,"Ahorlu, Festus","SKO","M","Lightweight"
"8/11/07",8,2007,"UFL: Fight Night at Conseco Fieldhouse",FALSE,"Submission (Triangle Choke)","Submission","2","01:54:00","L",2555308,"Adriano, Jeremiah","BRA","M","W",2505263,"Brown, Todd","USA","M","Catchweight"
"4/16/10",4,2010,"ROC 29: Ring of Combat 29",FALSE,"Unanimous Decision","Decision","3","04:00:00","L",2555670,"Adriano, Jose","BRA","M","W",2525098,"Pace, Nick","USA","M","Bantamweight"
"1/7/06",1,2006,"GF: Guarafight 2",FALSE,"Submission (Heel Hook)","Submission","1","01:08:00","L",2555670,"Adriano, Jose","BRA","M","W",2500422,"Eduardo, Johnny","BRA","M","Bantamweight"
"8/30/19",8,2019,"Lux Fight League: Lux 6",FALSE,"Submission (Guillotine)","Submission","1","04:11:00","L",5074226,"Adriel Borges, Thales","BRA","M","W",5065494,"Valenzuela, Ivan","MEX","M","Middleweight"
"3/17/18",3,2018,"VFC - Vikings Fight Club 1",FALSE,"TKO (Punches)","KO/TKO","1","02:50:00","L",5074226,"Adriel Borges, Thales","BRA","M","W",5074126,"Ribeiro, Claudio","BRA","M","Middleweight"
"2/6/15",2,2015,"Fight Time 23: Mayhem in Miami",FALSE,"TKO","KO/TKO","1","04:49:00","W",3172618,"Adur, Marcel","BRA","M","L",2565247,"Vila, Alexis","USA","M","Flyweight"
"6/1/14",6,2014,"NCF: Nitrix Champion Fight 21",FALSE,"KO","KO/TKO","2","05:00:00","W",3172618,"Adur, Marcel","BRA","M","L",4325203,"Dias, Rafael","BRA","M","Bantamweight"
"2/20/15",2,2015,"AUFC: Arabic Ultimate Fighting Championship 3",FALSE,"Submission (Rear Naked Choke)","Submission","1","03:53:00","W",4915973,"Afia, Mahmoud Mohamed","USA","M","L",4915655,"Juma, Mohamed","USA","M","Heavyweight"
"3/26/15",3,2015,"ADW: Abu Dhabi Warriors 2",FALSE,"Submission (Guillotine)","Submission","1","01:55:00","L",2967031,"Agaev, Baga","RUS","M","W",2493016,"Kyle, Mike","USA","M","Heavyweight"
"8/11/12",8,2012,"League S-70 : Russian Championship Finals",FALSE,"Submission (Guillotine)","Submission","1","01:12:00","L",2967031,"Agaev, Baga","RUS","M","W",2557937,"Nemkov, Viktor","RUS","M","Heavyweight"
"5/6/12",5,2012,"SFL 3: Super Fight League 3",FALSE,"KO/TKO","KO/TKO","3","02:03:00","L",2967031,"Agaev, Baga","RUS","M","W",2431359,"Prangley, Trevor","RSA","M","Heavyweight"
"5/19/11",5,2011,"DFC: Desert Force 2",FALSE,"KO","KO/TKO","1","01:13:00","W",2967031,"Agaev, Baga","RUS","M","L",2996767,"Barroso, Francimar","BRA","M","Heavyweight"
"3/24/11",3,2011,"HG: Heroes Gate 3",FALSE,"TKO (Corner Stoppage)","KO/TKO","3","00:00:00","L",2967031,"Agaev, Baga","RUS","M","W",2506251,"Vegh, Attila","SVK","M","Heavyweight"
"5/23/09",5,2009,"AOW 12: Invincible",FALSE,"Submission (Rear Naked Choke)","Submission","1","05:09:00","L",2967031,"Agaev, Baga","RUS","M","W",2504633,"Gracie, Rolles","BRA","M","Heavyweight"
"10/4/08",10,2008,"ProFC: Grand Prix",FALSE,"Submission (Scarf Hold Armlock)","Submission","1","03:47:00","L",2967031,"Agaev, Baga","RUS","M","W",2335844,"Oleinik, Aleksei","RUS","M","Heavyweight"
"4/19/08",4,2008,"fightForce: Russia vs. The World",FALSE,"Submission (Armbar)","Submission","1","00:00:00","W",2967031,"Agaev, Baga","RUS","M","L",2560725,"Carmont, Francis","FRA","M","Heavyweight"
"10/7/17",10,2017,"Fair FC 7: Fair Fighting Championship 7",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4686722,"Agaev, Selim","GER","M","W",4685871,"Stoltzfus, Dustin","USA","M","Middleweight"
"11/19/16",11,2016,"GMC 9: German MMA Championship 9",FALSE,"Submission (Armbar)","Submission","1","04:39:00","L",4686722,"Agaev, Selim","GER","M","W",3895855,"Lutterbach, Joilton","BRA","M","Welterweight"
"4/3/09",4,2009,"BFC: Bellator Fighting Championships 1",FALSE,"TKO","KO/TKO","1","01:19:00","L",2502592,"Agallar, Nick","GER","M","W",2500857,"Masvidal, Jorge","USA","M","Welterweight"
"3/4/06",3,2006,"MFC: Boardwalk Blitz",FALSE,"Unanimous Decision","Decision","3","05:00:00","W",2502592,"Agallar, Nick","GER","M","L",2354218,"Wiman, Matt","USA","M","Lightweight"
"6/11/05",6,2005,"GCM: D.O.G. 2",FALSE,"Unanimous Decision","Decision","3","05:00:00","W",2502592,"Agallar, Nick","GER","M","L",2488370,"Mitsuoka, Eiji","JPN","M","Lightweight"
"11/21/03",11,2003,"UFC 45: Revolution",FALSE,"KO/TKO","KO/TKO","2","02:14:00","L",2502592,"Agallar, Nick","GER","M","W",2335706,"Edwards, Yves","BAH","M","Lightweight"
"9/17/22",9,2022,"UFC Fight Night: Sandhagen vs. Song",FALSE,"Submission","Submission","2","02:19:00","L",4426285,"Agapova, Mariya","KAZ","F","W",4089026,"Robertson, Gillian","CAN","F","Flyweight"
"3/5/22",3,2022,"UFC 272: Covington vs. Masvidal",FALSE,"Submission","Submission","2","03:27:00","L",4426285,"Agapova, Mariya","KAZ","F","W",3281606,"Moroz, Maryna","UKR","F","Flyweight"
"10/9/21",10,2021,"UFC Fight Night: Dern vs. Rodriguez",FALSE,"Submission","Submission","3","00:53:00","W",4426285,"Agapova, Mariya","KAZ","F","L",4265846,"Mazo, Sabina","COL","F","Flyweight"
"8/22/20",8,2020,"UFC Fight Night: Munhoz vs. Edgar",FALSE,"KO/TKO","KO/TKO","2","01:38:00","L",4426285,"Agapova, Mariya","KAZ","F","W",4287764,"Dobson, Shana","USA","F","Flyweight"
"6/13/20",6,2020,"UFC Fight Night: Eye vs. Calvillo",FALSE,"Submission","Submission","1","02:42:00","W",4426285,"Agapova, Mariya","KAZ","F","L",3115958,"Cifers, Hannah","USA","F","Flyweight"
"10/4/19",10,2019,"Invicta FC 37: Gonzalez vs. Walker-Sanchez",FALSE,"TKO","KO/TKO","1","04:55:00","W",4426285,"Agapova, Mariya","KAZ","F","L",4350860,"Santos, Marilia","BRA","F","Flyweight"
"7/30/19",7,2019,"Dana White's Contender Series: Season 3, Week 6",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4426285,"Agapova, Mariya","KAZ","F","W",4243624,"Cortez, Tracy","USA","F","Flyweight"
"7/21/18",7,2018,"Heroine FC 2: Heroine Fighting Championship 2",FALSE,"KO/TKO","KO/TKO","1","04:59:00","W",4426285,"Agapova, Mariya","KAZ","F","L",4295932,"Na, Liang","CHN","F","Flyweight"
"8/24/17",8,2017,"FNG 72: Fight Nights Global 72",FALSE,"Submission (Armbar)","Submission","3","03:47:00","W",4426285,"Agapova, Mariya","KAZ","F","L",4426284,"Kutsenko, Yulia","RUS","F","Bantamweight"
"1/25/20",1,2020,"Bellator 238: Budd vs. Cyborg",FALSE,"Submission","Submission","3","01:22:00","W",4411087,"Agazarm, AJ","USA","M","L",4030351,"Altamimi, Adel","USA","M","Featherweight"
"9/28/19",9,2019,"Bellator 228: Pitbull vs. Archuleta",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4411087,"Agazarm, AJ","USA","M","L",4241035,"Quiroz, Jonathan","USA","M","Featherweight"
"7/12/19",7,2019,"Bellator 224: Budd vs. Rubin",FALSE,"Submission","Submission","1","04:21:00","W",4411087,"Agazarm, AJ","USA","M","L",4425883,"Landin, Jacob","USA","M","Featherweight"
"1/26/19",1,2019,"Bellator 214: Fedor vs. Bader",FALSE,"Decision - Split","Decision","3","05:00:00","L",4411087,"Agazarm, AJ","USA","M","W",4411088,"Roberts, Jesse","USA","M","Lightweight"
"8/23/19",8,2019,"Fury FC 35: Fury Fighting Championship 35",FALSE,"KO (Knee)","KO/TKO","1","01:50:00","L",4683652,"Ageday, Derrick","USA","M","W",3099958,"Ontiveros, Charlie","USA","M","Middleweight"
"3/4/18",3,2018,"Fury FC 23: Fury Fighting Championship 23",FALSE,"Submission","Submission","1","04:17:00","L",4683652,"Ageday, Derrick","USA","M","W",4058830,"Ivy, Anthony","USA","M","Welterweight"
"1/29/16",1,2016,"HKFC: School of Hard Knocks 48",FALSE,"KO/TKO","KO/TKO","1","00:25:00","L",4285669,"Agenord, Yvon","USA","M","W",4422029,"Laramie, TJ","CAN","M","Featherweight"
"5/24/13",5,2013,"CFA 11: Kyle vs. Wiuff",FALSE,"Decision - Split","Decision","3","05:00:00","L",4285669,"Agenord, Yvon","USA","M","W",4285665,"DeJesus, Gleidson","USA","M","Bantamweight"
"1/27/14",1,2014,"Desert Force 10: Al Academiya Finale",FALSE,"TKO (Injury)","KO/TKO","2","01:06:00","L",5078232,"Agha, Thabet","USA","M","W",4683999,"Fakhreddine, Mohammad","UKR","M","Heavyweight"
"5/5/18",5,2018,"ACB 86: Balaev vs. Raisov 2",TRUE,"Submission (Rear Naked Choke)","Submission","2","02:44:00","L",4237916,"Agnaev, Batraz","RUS","M","W",4018603,"Yagshimuradov, Dovletdzhan","TKM","M","Heavyweight"
"7/22/17",7,2017,"ACB 65: Silva vs. Agnaev",TRUE,"TKO","KO/TKO","2","03:34:00","W",4237916,"Agnaev, Batraz","RUS","M","L",2335526,"Silva, Thiago","BRA","M","Heavyweight"
"3/11/17",3,2017,"ACB 54: Supersonic",FALSE,"KO","KO/TKO","1","02:57:00","W",4237916,"Agnaev, Batraz","RUS","M","L",3041336,"Nunes, Max","SWE","M","Heavyweight"
"10/14/22",10,2022,"Caged Aggression 34: Domination Night 1",TRUE,"Decision - Unanimous","Decision","5","05:00:00","L",5129084,"Agnew, Kegan","RUS","M","W",4397797,"Hubbard, Austin","USA","M","Lightweight"
"8/5/17",8,2017,"IMC 1: Israel MMA Challenge 1",FALSE,"Submission (Rear Naked Choke)","Submission","1","00:50:00","L",4687611,"Agranat, Arthur","RUS","M","W",4021216,"Kahlon, Oron","USA","M","Featherweight"
"2/17/23",2,2023,"2023 PFL Challenger Series: Week 4",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4294505,"Aguayo, Jose","USA","M","W",5088788,"Decca, Charlie","ENG","M","Lightweight"
"7/30/22",7,2022,"NIF MMA 14: North Iowa Fights 14",FALSE,"TKO (Strikes)","KO/TKO","1","00:00:00","W",4294505,"Aguayo, Jose","USA","M","L",2989351,"Plazola, Mike","USA","M","Lightweight"
"4/24/21",4,2021,"North Iowa Fights: Aguayo vs. Konkol",FALSE,"Submission (Armbar)","Submission","1","05:00:00","W",4294505,"Aguayo, Jose","USA","M","L",5123451,"Konkol, Gary","THA","M","Lightweight"
"5/11/18",5,2018,"Combate 22: Mexico vs. USA",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4294505,"Aguayo, Jose","USA","M","W",4715407,"Strader, Jesse","USA","M","Lightweight"
"1/19/18",1,2018,"LFA 31: Moffett vs. Le",FALSE,"TKO (Knees and Punches)","KO/TKO","1","01:07:00","L",4294505,"Aguayo, Jose","USA","M","W",4294504,"Sandhagen, Cory","USA","M","Lightweight"
"9/30/22",9,2022,"LFA 143: Lopes vs. Paiva",FALSE,"KO/TKO","KO/TKO","1","02:55:00","L",4334743,"Aguiar, Fabio","BRA","M","W",5119021,"Fernando, Lucas","BRA","M","Middleweight"
"6/24/22",6,2022,"Bellator 282: Mousasi vs. Eblen",FALSE,"KO/TKO","KO/TKO","2","03:32:00","L",4334743,"Aguiar, Fabio","BRA","M","W",4255574,"Jeffery, Aaron","CAN","M","Middleweight"
"8/20/21",8,2021,"Bellator 265: Kongo vs. Kharitonov",FALSE,"Decision - Split","Decision","3","05:00:00","W",4334743,"Aguiar, Fabio","BRA","M","L",4565642,"Johnson, Taylor","USA","M","Middleweight"
"4/2/21",4,2021,"Bellator 255: Pitbull vs. Sanchez 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4334743,"Aguiar, Fabio","BRA","M","W",4294263,"Murtazaliev, Khalid","RUS","M","Middleweight"
"8/12/17",8,2017,"AFC: Aspera Fighting Championship 55",FALSE,"TKO (Doctor Stoppage)","KO/TKO","3","03:03:00","W",4334743,"Aguiar, Fabio","BRA","M","L",3108776,"Alexandre Jr., Marcio","BRA","M","Middleweight"
