"date","month","year","event","championship","decision","decision_group","round","time","p1_result","p1_id","p1_name","p1_country","p1_sex","p2_result","p2_id","p2_name","p2_country","p2_sex","wtClass"
"7/24/18",7,2018,"DWTNCS Season 2, Week 6",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4339145,"Davis, Mike","USA","M","W",4289274,"Yusuff, Sodiq","NGR","M","Featherweight"
"2/8/18",2,2018,"Square Ring Promotions: Island Fights 46",FALSE,"TKO","KO/TKO","1","02:22:00","W",4339145,"Davis, Mike","USA","M","L",4339405,"James, Montrell","USA","M","Welterweight"
"10/14/17",10,2017,"Square Ring Promotions: Island Fights 42",FALSE,"TKO","KO/TKO","2","02:35:00","W",4339145,"Davis, Mike","USA","M","L",3099978,"Retic, Anthony","USA","M","Featherweight"
"12/29/17",12,2017,"RCC 14: Revolution Combat Championships 14",FALSE,"Submission (Forearm Choke)","Submission","1","01:00:00","L",4406651,"Davis, Parnell","USA","M","W",3040875,"Frazier, Justin","USA","M","Heavyweight"
"9/30/17",9,2017,"Driller Promotions: No Mercy 6",FALSE,"Submission (Arm Triangle)","Submission","1","01:20:00","L",4406651,"Davis, Parnell","USA","M","W",3154884,"Greene, Maurice","USA","M","Heavyweight"
"9/18/21",9,2021,"Bellator 266: Davis vs. Romero",FALSE,"Decision - Split","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2569939,"Romero, Yoel","CUB","M","Heavyweight"
"4/16/21",4,2021,"Bellator 257: Nemkov vs. Davis 2",TRUE,"Decision - Unanimous","Decision","5","05:00:00","L",2499976,"Davis, Phil","USA","M","W",3955014,"Nemkov, Vadim","RUS","M","Heavyweight"
"9/11/20",9,2020,"Bellator 245: Davis vs. Machida 2",FALSE,"Decision - Split","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2335524,"Machida, Lyoto","BRA","M","Heavyweight"
"4/27/19",4,2019,"Bellator 220: MacDonald vs. Fitch",FALSE,"KO/TKO","KO/TKO","3","04:11:00","W",2499976,"Davis, Phil","USA","M","L",3101386,"McGeary, Liam","ENG","M","Heavyweight"
"11/15/18",11,2018,"Bellator 209: Pitbull vs. Sanchez",FALSE,"Decision - Split","Decision","3","05:00:00","L",2499976,"Davis, Phil","USA","M","W",3955014,"Nemkov, Vadim","RUS","M","Heavyweight"
"5/25/18",5,2018,"Bellator 200: Carvalho vs. Mousasi",FALSE,"KO (Head Kick)","KO/TKO","3","01:05:00","W",2499976,"Davis, Phil","USA","M","L",3068118,"Vassell, Linton","ENG","M","Heavyweight"
"11/3/17",11,2017,"Bellator 186: Bader vs. Vassell",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",3136302,"Leite, Leonardo","BRA","M","Heavyweight"
"11/4/16",11,2016,"Bellator 163: McGeary vs. Davis",TRUE,"Decision - Unanimous","Decision","5","05:00:00","W",2499976,"Davis, Phil","USA","M","L",3101386,"McGeary, Liam","ENG","M","Heavyweight"
"5/14/16",5,2016,"Bellator 154: Davis vs. Lawal",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2501522,"Lawal, Muhammed","USA","M","Catchweight"
"9/19/15",9,2015,"Bellator 142: Dynamite",FALSE,"Submission (Kimura)","Submission","1","04:39:00","W",2499976,"Davis, Phil","USA","M","L",2504971,"Newton, Emanuel","USA","M","Heavyweight"
"10/25/14",10,2014,"UFC 179: Aldo vs. Mendes 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2504929,"Teixeira, Glover","BRA","M","Heavyweight"
"4/26/14",4,2014,"UFC 172: Jones vs. Teixeira",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2499976,"Davis, Phil","USA","M","W",2335663,"Johnson, Anthony","USA","M","Heavyweight"
"8/3/13",8,2013,"UFC 163: Aldo vs. Korean Zombie",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2335524,"Machida, Lyoto","BRA","M","Heavyweight"
"4/27/13",4,2013,"UFC 159: Jones vs. Sonnen",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2335643,"Magalhaes, Vinny","BRA","M","Heavyweight"
"10/13/12",10,2012,"UFC 153: Silva vs. Bonnar",FALSE,"Submission","Submission","2","04:29:00","W",2499976,"Davis, Phil","USA","M","L",2961618,"Prado, Wagner","BRA","M","Heavyweight"
"8/4/12",8,2012,"UFC on Fox: Shogun vs. Vera",FALSE,"No Contest","Unkown/Other","1","01:28:00","D",2499976,"Davis, Phil","USA","M","D",2961618,"Prado, Wagner","BRA","M","Heavyweight"
"1/28/12",1,2012,"UFC on Fox: Evans vs. Davis",FALSE,"Decision - Unanimous","Decision","5","05:00:00","L",2499976,"Davis, Phil","USA","M","W",2335465,"Evans, Rashad","USA","M","Heavyweight"
"3/26/11",3,2011,"UFC Fight Night: Davis vs. Nogueira",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2381659,"Nogueira, Rogerio","BRA","M","Heavyweight"
"4/10/10",4,2010,"UFC 112: Invincible",FALSE,"Submission","Submission","1","04:55:00","W",2499976,"Davis, Phil","USA","M","L",2500771,"Gustafsson, Alexander","SWE","M","Heavyweight"
"2/6/10",2,2010,"UFC 109: Relentless",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",2499976,"Davis, Phil","USA","M","L",2335748,"Stann, Brian","USA","M","Heavyweight"
"1/22/09",1,2009,"PFC 12: High Stakes",FALSE,"TKO","KO/TKO","1","01:49:00","W",2499976,"Davis, Phil","USA","M","L",2499978,"Green, Josh","USA","M","Heavyweight"
"10/8/11",10,2011,"BFC: Bellator Fighting Championships 53",FALSE,"KO (Punch)","KO/TKO","2","00:29:00","W",2504831,"Davis, Raphael","USA","M","L",2515787,"Dennis, Myron","USA","M","Heavyweight"
"8/15/09",8,2009,"Called Out MMA: Called Out MMA 1",FALSE,"Submission (Rear Naked Choke)","Submission","2","00:00:00","W",2504831,"Davis, Raphael","USA","M","L",2504971,"Newton, Emanuel","USA","M","Heavyweight"
"4/29/09",4,2009,"M-1 Challenge 14: Japan",FALSE,"Submission (Punches)","Submission","2","03:45:00","W",2504831,"Davis, Raphael","USA","M","L",2494133,"Kim, Jae Young","SKO","M","Heavyweight"
"2/1/09",2,2009,"M-1 Challenge 12: USA",FALSE,"TKO (Punches)","KO/TKO","1","04:05:00","W",2504831,"Davis, Raphael","USA","M","L",2498640,"Goncalves, Jair","POR","M","Heavyweight"
"11/15/08",11,2008,"TFA 13- Total Fighting Alliance 13",FALSE,"Submission","Submission","1","00:22:00","W",2504831,"Davis, Raphael","USA","M","L",2951329,"Michaels, Brandon","ITA","M","Catchweight"
"3/7/08",3,2008,"Valor Fighting: Fight Night",FALSE,"Submission (Verbal)","Submission","2","03:03:00","W",2504831,"Davis, Raphael","USA","M","L",2335643,"Magalhaes, Vinny","BRA","M","Heavyweight"
"5/27/06",5,2006,"UFC 60: Hughes vs. Gracie",FALSE,"KO/TKO","KO/TKO","1","01:37:00","L",2354540,"Davis, Rick","USA","M","W",2335800,"Guillard, Melvin","USA","M","Lightweight"
"4/5/99",4,1999,"KK 14: Kage Kombat 14",FALSE,"Submission (Armbar)","Submission","1","02:16:00","L",2557910,"Davis, Scott","USA","M","W",2335701,"Parisyan, Karo","USA","M","Welterweight"
"6/26/04",6,2004,"SF 4: Fight For Freedom",FALSE,"Submission (Armbar)","Submission","3","00:00:00","L",2556967,"Davis, Shane","USA","M","W",2335754,"Herman, Ed","USA","M","Heavyweight"
"8/23/03",8,2003,"QP: Second Coming",FALSE,"Submission (Armbar)","Submission","1","02:18:00","W",2556967,"Davis, Shane","USA","M","L",2335754,"Herman, Ed","USA","M","Heavyweight"
"6/6/09",6,2009,"Throwdown Showdown 4: Cuatro",FALSE,"Decision - Unanimous","Decision","5","05:00:00","L",3007965,"Davis, Stryder","USA","M","W",2585976,"Martinez, Rad","USA","M","Featherweight"
